V160001,pid3,party,biden,ryan,merkel,putin,roberts,talk,meeting,wear,work,campaigndon,partydon,attend,petition,post,contact,vote16,feeldem,feelrep,feellib,feelcons,pid7,ideo7,ideo3
300001,(2) 2. Republican,Republican,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,70,50,70,(7) 7. Strong Republican,(06) 6. Conservative,
300002,(2) 2. Republican,Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,85,50,60,(6) 6. Not very strong Republican,(05) 5. Slightly conservative,
300003,(3) 3. Independent,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,50,50,50,50,(3) 3. Independent-Democrat,(99) 99. Haven't thought much about this,(1) 1. Liberal
300004,(0) 0. No preference (FTF ONLY),No Party,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,30,70,50,50,(5) 5. Independent-Republican,(06) 6. Conservative,
300006,(3) 3. Independent,Independent,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,70,40,70,70,(3) 3. Independent-Democrat,(04) 4. Moderate/ middle of the road,(3) 3. Moderate
300007,(0) 0. No preference (FTF ONLY),No Party,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,15,30,15,50,(5) 5. Independent-Republican,(07) 7. Extremely conservative,
300008,(1) 1. Democrat,Democrat,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,85,15,85,85,(1) 1. Strong Democrat,(99) 99. Haven't thought much about this,(2) 2. Conservative
300012,(3) 3. Independent,Independent,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,40,30,40,(4) 4. Independent,(04) 4. Moderate/ middle of the road,(2) 2. Conservative
300018,(3) 3. Independent,Independent,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,,15,60,15,60,(5) 5. Independent-Republican,(05) 5. Slightly conservative,
300020,(3) 3. Independent,Independent,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,50,50,50,50,(3) 3. Independent-Democrat,(02) 2. Liberal,
300021,(3) 3. Independent,Independent,,,,,,,,,,,,,,,,,0,60,,,(5) 5. Independent-Republican,,
300023,(3) 3. Independent,Independent,,,,,,,,,,,,,,,,,85,30,,,(3) 3. Independent-Democrat,,
300026,(5) 5. Other party SPECIFY,Other,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,40,70,70,70,(5) 5. Independent-Republican,(05) 5. Slightly conservative,
300030,(1) 1. Democrat,Democrat,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,15,50,0,85,(2) 2. Not very strong Democrat,(06) 6. Conservative,
300034,(1) 1. Democrat,Democrat,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,85,30,85,40,(1) 1. Strong Democrat,(03) 3. Slightly liberal,
300038,(1) 1. Democrat,Democrat,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,60,50,50,50,(1) 1. Strong Democrat,(99) 99. Haven't thought much about this,(1) 1. Liberal
300039,(1) 1. Democrat,Democrat,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,70,15,85,30,(1) 1. Strong Democrat,(02) 2. Liberal,
300040,(2) 2. Republican,Republican,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,70,85,100,(7) 7. Strong Republican,(06) 6. Conservative,
300041,(1) 1. Democrat,Democrat,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,70,15,85,30,(1) 1. Strong Democrat,(03) 3. Slightly liberal,
300042,(2) 2. Republican,Republican,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40,60,40,50,(6) 6. Not very strong Republican,(06) 6. Conservative,
300045,(2) 2. Republican,Republican,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,15,70,60,85,(6) 6. Not very strong Republican,(05) 5. Slightly conservative,
300046,(2) 2. Republican,Republican,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,40,80,70,60,(6) 6. Not very strong Republican,(03) 3. Slightly liberal,
300047,(0) 0. No preference (FTF ONLY),No Party,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50,15,60,40,(5) 5. Independent-Republican,(99) 99. Haven't thought much about this,(1) 1. Liberal
300049,(0) 0. No preference (FTF ONLY),No Party,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40,60,40,70,(5) 5. Independent-Republican,(06) 6. Conservative,
300050,(3) 3. Independent,Independent,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,15,40,15,100,(5) 5. Independent-Republican,(06) 6. Conservative,
300051,(3) 3. Independent,Independent,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,,50,50,50,,(5) 5. Independent-Republican,(99) 99. Haven't thought much about this,
300053,(3) 3. Independent,Independent,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,,50,60,70,40,(4) 4. Independent,(02) 2. Liberal,
300056,(3) 3. Independent,Independent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,(4) 4. Independent,(04) 4. Moderate/ middle of the road,(2) 2. Conservative
300058,(3) 3. Independent,Independent,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,85,15,100,0,(3) 3. Independent-Democrat,(01) 1. Extremely liberal,
300059,(3) 3. Independent,Independent,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,50,40,70,(4) 4. Independent,(06) 6. Conservative,
300062,(1) 1. Democrat,Democrat,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,70,70,60,40,(2) 2. Not very strong Democrat,(02) 2. Liberal,
300064,(2) 2. Republican,Republican,,,,,,,,,,,,,,,,,0,15,,,(7) 7. Strong Republican,,
300070,(2) 2. Republican,Republican,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,85,60,85,(7) 7. Strong Republican,(06) 6. Conservative,
300072,(3) 3. Independent,Independent,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60,15,100,(5) 5. Independent-Republican,(06) 6. Conservative,
